trial_idx,relation_idx,word1,word2,option_1,option_2,relation_name,relation_category,trial_type,correct_response
1,27,개구리,두꺼비,,,Dimensional Similarity (Korean Localized),SIMILAR,example,
1,27,걷다,산책하다,,,Dimensional Similarity (Korean Localized),SIMILAR,example,
1,27,수프,스튜,,,Dimensional Similarity (Korean Localized),SIMILAR,example,
1,27,독수리,매,,,Dimensional Similarity (Korean Localized),SIMILAR,example,
1,27,빠르다,재빠르다,재빠르다,서두르다,Dimensional Similarity (Korean Localized),SIMILAR,probe,1.0
2,52,강의계획서,강의,,,Plan (Korean Localized),REFERENCE,example,
2,52,길안내,경로,,,Plan (Korean Localized),REFERENCE,example,
2,52,설계도,집,,,Plan (Korean Localized),REFERENCE,example,
2,52,명세서,소프트웨어,,,Plan (Korean Localized),REFERENCE,example,
2,52,셋리스트,콘서트,콘서트,사운드체크,Plan (Korean Localized),REFERENCE,probe,1.0
3,53,난간,추락,,,Prevention (Korean Localized),CAUSE-PURPOSE,example,
3,53,양치질,충치,,,Prevention (Korean Localized),CAUSE-PURPOSE,example,
3,53,감독,일탈행동,,,Prevention (Korean Localized),CAUSE-PURPOSE,example,
3,53,대비,재난,,,Prevention (Korean Localized),CAUSE-PURPOSE,example,
3,53,곰팡이제거제,곰팡이,스프레이,곰팡이,Prevention (Korean Localized),CAUSE-PURPOSE,probe,2.0
4,-1,baseline,baseline,,,baseline,baseline,baseline,
5,52,조립설명서,조립,,,Plan (Korean Localized),REFERENCE,example,
5,52,계획,개발,,,Plan (Korean Localized),REFERENCE,example,
5,52,총보,교향곡,,,Plan (Korean Localized),REFERENCE,example,
5,52,파일럿에피소드,드라마시리즈,,,Plan (Korean Localized),REFERENCE,example,
5,52,평화조약,평화,평화,협정,Plan (Korean Localized),REFERENCE,probe,1.0
6,27,속삭이다,중얼거리다,,,Dimensional Similarity (Korean Localized),SIMILAR,example,
6,27,서글픔,절망,,,Dimensional Similarity (Korean Localized),SIMILAR,example,
