relation_idx,word1,word2,option_1,option_2,relation_name,relation_category,trial_type,correct_response,trial_idx
-1,baseline,baseline,,,baseline,baseline,baseline,,1
37,계단,계단참,,,Item:Topological Part (Korean Localized),PART-WHOLE,example,,2
37,모자,챙,,,Item:Topological Part (Korean Localized),PART-WHOLE,example,,2
37,얼굴,이마,,,Item:Topological Part (Korean Localized),PART-WHOLE,example,,2
37,병,목,,,Item:Topological Part (Korean Localized),PART-WHOLE,example,,2
37,컵,테두리,테두리,찬장,Item:Topological Part (Korean Localized),PART-WHOLE,probe,1.0,2
2,운전하다,도착하다,,,Action/Activity:Goal (Korean Localized),CAUSE-PURPOSE,example,,3
2,손흔들다,인사하다,,,Action/Activity:Goal (Korean Localized),CAUSE-PURPOSE,example,,3
2,뻗다,잡다,,,Action/Activity:Goal (Korean Localized),CAUSE-PURPOSE,example,,3
2,플러팅하다,유혹하다,,,Action/Activity:Goal (Korean Localized),CAUSE-PURPOSE,example,,3
2,순찰하다,지키다,지키다,감시하다,Action/Activity:Goal (Korean Localized),CAUSE-PURPOSE,probe,1.0,3
55,일년,일기,,,Representation (Korean Localized),REFERENCE,example,,4
55,시스템,도식,,,Representation (Korean Localized),REFERENCE,example,,4
55,졸업,학사모,,,Representation (Korean Localized),REFERENCE,example,,4
55,관계,방정식,,,Representation (Korean Localized),REFERENCE,example,,4
55,업적,트로피,성공,트로피,Representation (Korean Localized),REFERENCE,probe,2.0,4
37,농장,닭장,,,Item:Topological Part (Korean Localized),PART-WHOLE,example,,5
37,언덕,정상,,,Item:Topological Part (Korean Localized),PART-WHOLE,example,,5
37,병원,병동,,,Item:Topological Part (Korean Localized),PART-WHOLE,example,,5
37,산,기슭,,,Item:Topological Part (Korean Localized),PART-WHOLE,example,,5
37,버스,통로,노선,통로,Item:Topological Part (Korean Localized),PART-WHOLE,probe,2.0,5
31,포효,격노,,,Expression (Korean Localized),REFERENCE,example,,6
31,꺄악소리내기,흥분,,,Expression (Korean Localized),REFERENCE,example,,6
31,포옹,애정,,,Expression (Korean Localized),REFERENCE,example,,6
31,뒤로물러서기,혐오,,,Expression (Korean Localized),REFERENCE,example,,6
31,애원하기,절박함,절박함,부탁,Expression (Korean Localized),REFERENCE,probe,1.0,6
-1,baseline,baseline,,,baseline,baseline,baseline,,7
55,확인,서명,,,Representation (Korean Localized),REFERENCE,example,,8
55,데이터,그래프,,,Representation (Korean Localized),REFERENCE,example,,8
55,밤,달,,,Representation (Korean Localized),REFERENCE,example,,8
55,문화,유물,,,Representation (Korean Localized),REFERENCE,example,,8
55,축하,불꽃놀이,파티,불꽃놀이,Representation (Korean Localized),REFERENCE,probe,2.0,8
31,이빨드러내기,분노,,,Expression (Korean Localized),REFERENCE,example,,9
31,속삭이기,비밀,,,Expression (Korean Localized),REFERENCE,example,,9
31,씩웃음,우쭐함,,,Expression (Korean Localized),REFERENCE,example,,9
31,비웃음,경멸,,,Expression (Korean Localized),REFERENCE,example,,9
31,통곡,절망,절망,비탄,Expression (Korean Localized),REFERENCE,probe,1.0,9
-1,baseline,baseline,,,baseline,baseline,baseline,,10
2,단열하다,따뜻하게하다,,,Action/Activity:Goal (Korean Localized),CAUSE-PURPOSE,example,,11
2,그림그리다,창작하다,,,Action/Activity:Goal (Korean Localized),CAUSE-PURPOSE,example,,11
2,목욕하다,깨끗하게하다,,,Action/Activity:Goal (Korean Localized),CAUSE-PURPOSE,example,,11
2,칭찬하다,기쁘게하다,,,Action/Activity:Goal (Korean Localized),CAUSE-PURPOSE,example,,11
2,사다,소유하다,소유하다,영수증,Action/Activity:Goal (Korean Localized),CAUSE-PURPOSE,probe,1.0,11
37,경기장,필드,,,Item:Topological Part (Korean Localized),PART-WHOLE,example,,12
37,대양,해저,,,Item:Topological Part (Korean Localized),PART-WHOLE,example,,12
37,펜,펜촉,,,Item:Topological Part (Korean Localized),PART-WHOLE,example,,12
37,정원,산책로,,,Item:Topological Part (Korean Localized),PART-WHOLE,example,,12
37,호텔,로비,체크인,로비,Item:Topological Part (Korean Localized),PART-WHOLE,probe,2.0,12
-1,baseline,baseline,,,baseline,baseline,baseline,,13
31,톡톡두드리기,조급함,,,Expression (Korean Localized),REFERENCE,example,,14
31,무시하기,멸시,,,Expression (Korean Localized),REFERENCE,example,,14
31,환호,열정,,,Expression (Korean Localized),REFERENCE,example,,14
31,서성이기,걱정,,,Expression (Korean Localized),REFERENCE,example,,14
31,안절부절못하기,초조함,초조함,긴장,Expression (Korean Localized),REFERENCE,probe,1.0,14
2,매복하다,붙잡다,,,Action/Activity:Goal (Korean Localized),CAUSE-PURPOSE,example,,15
2,마케팅하다,판매하다,,,Action/Activity:Goal (Korean Localized),CAUSE-PURPOSE,example,,15
2,싸우다,이기다,,,Action/Activity:Goal (Korean Localized),CAUSE-PURPOSE,example,,15
2,점등하다,밝히다,,,Action/Activity:Goal (Korean Localized),CAUSE-PURPOSE,example,,15
2,투약하다,치유하다,치유하다,의사,Action/Activity:Goal (Korean Localized),CAUSE-PURPOSE,probe,1.0,15
55,책,요약,,,Representation (Korean Localized),REFERENCE,example,,16
55,정의,저울,,,Representation (Korean Localized),REFERENCE,example,,16
55,민주주의,투표용지,,,Representation (Korean Localized),REFERENCE,example,,16
55,가문,가문문장,,,Representation (Korean Localized),REFERENCE,example,,16
55,영웅심,기념비,기념비,의식,Representation (Korean Localized),REFERENCE,probe,1.0,16
