trial_idx,relation_idx,word1,word2,option_1,option_2,relation_name,relation_category,trial_type,correct_response
1,8,buoyant,float,,,Agent/ObjectAttribute:Typical Action,ATTRIBUTE,example,
1,8,toxic,poison,,,Agent/ObjectAttribute:Typical Action,ATTRIBUTE,example,
1,8,flammable,ignite,,,Agent/ObjectAttribute:Typical Action,ATTRIBUTE,example,
1,8,concerned,worry,,,Agent/ObjectAttribute:Typical Action,ATTRIBUTE,example,
1,8,sharp,cut,cut,edgy,Agent/ObjectAttribute:Typical Action,ATTRIBUTE,probe,1.0
2,3,straighten,crooked,,,Action:Object Attribute,ATTRIBUTE,example,
2,3,unload,loaded,,,Action:Object Attribute,ATTRIBUTE,example,
2,3,amplify,quiet,,,Action:Object Attribute,ATTRIBUTE,example,
2,3,admire,beautiful,,,Action:Object Attribute,ATTRIBUTE,example,
2,3,discard,useless,useless,old,Action:Object Attribute,ATTRIBUTE,probe,1.0
3,-1,baseline,baseline,,,baseline,baseline,baseline,
4,8,vengeful,retaliate,,,Agent/ObjectAttribute:Typical Action,ATTRIBUTE,example,
4,8,content,relax,,,Agent/ObjectAttribute:Typical Action,ATTRIBUTE,example,
4,8,dry,crumble,,,Agent/ObjectAttribute:Typical Action,ATTRIBUTE,example,
4,8,awakening,yawn,,,Agent/ObjectAttribute:Typical Action,ATTRIBUTE,example,
4,8,pointed,pierce,pierce,cut,Agent/ObjectAttribute:Typical Action,ATTRIBUTE,probe,1.0
5,12,orator,audience,,,Agent:Recipient,CASE RELATIONS,example,
5,12,bartender,patron,,,Agent:Recipient,CASE RELATIONS,example,
5,12,waiter,diner,,,Agent:Recipient,CASE RELATIONS,example,
5,12,grocer,shopper,,,Agent:Recipient,CASE RELATIONS,example,
5,12,broadcaster,viewer,reporter,viewer,Agent:Recipient,CASE RELATIONS,probe,2.0
6,18,king,Arthur,,,ClassIndividual,CLASS-INCLUSION,example,
6,18,company,Apple,,,ClassIndividual,CLASS-INCLUSION,example,
6,18,country,Egypt,,,ClassIndividual,CLASS-INCLUSION,example,
6,18,state,Virginia,,,ClassIndividual,CLASS-INCLUSION,example,
6,18,princess,Diana,queen,diana,ClassIndividual,CLASS-INCLUSION,probe,2.0
7,3,thaw,frozen,,,Action:Object Attribute,ATTRIBUTE,example,
7,3,shorten,long,,,Action:Object Attribute,ATTRIBUTE,example,
7,3,cool,hot,,,Action:Object Attribute,ATTRIBUTE,example,
7,3,demolish,condemned,,,Action:Object Attribute,ATTRIBUTE,example,
7,3,dilute,concentrated,concentrated,syrup,Action:Object Attribute,ATTRIBUTE,probe,1.0
8,-1,baseline,baseline,,,baseline,baseline,baseline,
9,18,month,January,,,ClassIndividual,CLASS-INCLUSION,example,
9,18,lake,Michigan,,,ClassIndividual,CLASS-INCLUSION,example,
9,18,soda,Pepsi,,,ClassIndividual,CLASS-INCLUSION,example,
9,18,berry,Strawberry,,,ClassIndividual,CLASS-INCLUSION,example,
9,18,primate,Gorilla,banana,gorilla,ClassIndividual,CLASS-INCLUSION,probe,2.0
10,3,repair,broken,,,Action:Object Attribute,ATTRIBUTE,example,
10,3,release,captive,,,Action:Object Attribute,ATTRIBUTE,example,
10,3,encourage,discouraged,,,Action:Object Attribute,ATTRIBUTE,example,
10,3,heal,injured,,,Action:Object Attribute,ATTRIBUTE,example,
10,3,eat,delicious,delicious,fresh,Action:Object Attribute,ATTRIBUTE,probe,1.0
11,12,photographer,client,,,Agent:Recipient,CASE RELATIONS,example,
11,12,lifeguard,swimmer,,,Agent:Recipient,CASE RELATIONS,example,
11,12,sergeant,recruit,,,Agent:Recipient,CASE RELATIONS,example,
11,12,grandmother,grandchild,,,Agent:Recipient,CASE RELATIONS,example,
11,12,clerk,customer,cashier,customer,Agent:Recipient,CASE RELATIONS,probe,2.0
12,8,elastic,stretch,,,Agent/ObjectAttribute:Typical Action,ATTRIBUTE,example,
12,8,healthy,survive,,,Agent/ObjectAttribute:Typical Action,ATTRIBUTE,example,
12,8,angry,confront,,,Agent/ObjectAttribute:Typical Action,ATTRIBUTE,example,
12,8,drowsy,doze,,,Agent/ObjectAttribute:Typical Action,ATTRIBUTE,example,
12,8,terrified,scream,hide,scream,Agent/ObjectAttribute:Typical Action,ATTRIBUTE,probe,2.0
13,18,motorcycle,Harley,,,ClassIndividual,CLASS-INCLUSION,example,
13,18,tree,Oak,,,ClassIndividual,CLASS-INCLUSION,example,
13,18,color,Red,,,ClassIndividual,CLASS-INCLUSION,example,
13,18,author,Shakespeare,,,ClassIndividual,CLASS-INCLUSION,example,
13,18,island,Madagascar,madagascar,mozambique,ClassIndividual,CLASS-INCLUSION,probe,1.0
14,3,transform,malleable,,,Action:Object Attribute,ATTRIBUTE,example,
14,3,unlock,locked,,,Action:Object Attribute,ATTRIBUTE,example,
14,3,prune,overgrown,,,Action:Object Attribute,ATTRIBUTE,example,
14,3,feed,hungry,,,Action:Object Attribute,ATTRIBUTE,example,
14,3,free,trapped,key,trapped,Action:Object Attribute,ATTRIBUTE,probe,2.0
15,-1,baseline,baseline,,,baseline,baseline,baseline,
16,12,babysitter,child,,,Agent:Recipient,CASE RELATIONS,example,
16,12,coach,player,,,Agent:Recipient,CASE RELATIONS,example,
16,12,boss,employee,,,Agent:Recipient,CASE RELATIONS,example,
16,12,banker,client,,,Agent:Recipient,CASE RELATIONS,example,
16,12,gardener,homeowner,homeowner,lawnmower,Agent:Recipient,CASE RELATIONS,probe,1.0
17,18,constellation,Orion,,,ClassIndividual,CLASS-INCLUSION,example,
17,18,pasta,Spaghetti,,,ClassIndividual,CLASS-INCLUSION,example,
17,18,continent,Africa,,,ClassIndividual,CLASS-INCLUSION,example,
17,18,television,Sony,,,ClassIndividual,CLASS-INCLUSION,example,
17,18,explorer,Columbus,columbus,ship,ClassIndividual,CLASS-INCLUSION,probe,1.0
18,8,hot,burn,,,Agent/ObjectAttribute:Typical Action,ATTRIBUTE,example,
18,8,hollow,echo,,,Agent/ObjectAttribute:Typical Action,ATTRIBUTE,example,
18,8,smooth,glide,,,Agent/ObjectAttribute:Typical Action,ATTRIBUTE,example,
18,8,proud,boast,,,Agent/ObjectAttribute:Typical Action,ATTRIBUTE,example,
18,8,round,roll,roll,circular,Agent/ObjectAttribute:Typical Action,ATTRIBUTE,probe,1.0
19,-1,baseline,baseline,,,baseline,baseline,baseline,
20,12,father,son,,,Agent:Recipient,CASE RELATIONS,example,
20,12,professor,student,,,Agent:Recipient,CASE RELATIONS,example,
20,12,aunt,niece,,,Agent:Recipient,CASE RELATIONS,example,
20,12,shopkeeper,patron,,,Agent:Recipient,CASE RELATIONS,example,
20,12,librarian,patron,patron,reading room,Agent:Recipient,CASE RELATIONS,probe,1.0
21,3,reward,deserving,,,Action:Object Attribute,ATTRIBUTE,example,
21,3,wash,soiled,,,Action:Object Attribute,ATTRIBUTE,example,
21,3,preserve,valuable,,,Action:Object Attribute,ATTRIBUTE,example,
21,3,untangle,knotted,,,Action:Object Attribute,ATTRIBUTE,example,
21,3,drain,flooded,muddy,flooded,Action:Object Attribute,ATTRIBUTE,probe,2.0
22,18,queen,Elizabeth,,,ClassIndividual,CLASS-INCLUSION,example,
22,18,ocean,Atlantic,,,ClassIndividual,CLASS-INCLUSION,example,
22,18,team,Rangers,,,ClassIndividual,CLASS-INCLUSION,example,
22,18,spice,Cinnamon,,,ClassIndividual,CLASS-INCLUSION,example,
22,18,dog,Poodle,poodle,leash,ClassIndividual,CLASS-INCLUSION,probe,1.0
23,-1,baseline,baseline,,,baseline,baseline,baseline,
24,12,mailman,resident,,,Agent:Recipient,CASE RELATIONS,example,
24,12,nurse,patient,,,Agent:Recipient,CASE RELATIONS,example,
24,12,publisher,subscriber,,,Agent:Recipient,CASE RELATIONS,example,
